alerts_generated,expected_true_positives,expected_false_positives,investigator_hours,investigator_fte_equivalent,review_cost,wasted_review_cost_on_false_positives,hypothetical_period_exposure,hypothetical_amount_addressed,hypothetical_realised_recovery,net_illustrative_position,break_even_precision,disclaimer,capacity_pct,measured_precision,measured_recall
500,500.0,0.0,750.0,0.44,48750.0,0.0,3600000.0,600000.0,210000.0,161250.0,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.005,1.0,0.1254355400696864
1521,1521.0,0.0,2281.5,1.34,148297.5,0.0,3600000.0,1825200.0,638820.0,490522.5,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.015208333333333334,1.0,0.3832752613240418
2542,2542.0,0.0,3813.0,2.24,247845.0,0.0,3600000.0,3050400.0,1067640.0,819795.0,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.025416666666666667,1.0,0.6411149825783972
3562,3216.8,345.2,5343.0,3.14,347295.0,33652.62,3600000.0,3860213.95,1351074.88,1003779.88,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.035625,0.9031007751937985,0.8118466898954704
4583,3354.4,1228.6,6874.5,4.04,446842.5,119786.09,3600000.0,4025309.64,1408858.37,962015.87,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.04583333333333333,0.7319277108433735,0.8466898954703833
5604,3445.4,2158.6,8406.0,4.94,546390.0,210461.33,3600000.0,4134506.67,1447077.33,900687.33,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.05604166666666666,0.6148148148148148,0.867595818815331
6625,3513.0,3112.0,9937.5,5.85,645937.5,303415.32,3600000.0,4215657.62,1475480.17,829542.67,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.06625,0.5302713987473904,0.8850174216027874
7646,3581.0,4065.0,11469.0,6.75,745485.0,396333.8,3600000.0,4297245.57,1504035.95,758550.95,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.07645833333333334,0.46835443037974683,0.9024390243902439
8667,3663.1,5003.9,13000.5,7.65,845032.5,487881.6,3600000.0,4395703.35,1538496.17,693463.67,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.08666666666666667,0.4226475279106858,0.9233449477351916
9688,3703.8,5984.2,14532.0,8.55,944580.0,583456.69,3600000.0,4444594.58,1555608.1,611028.1,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.096875,0.38231098430813126,0.9337979094076655
10708,3730.5,6977.5,16062.0,9.45,1044030.0,680303.42,3600000.0,4476634.84,1566822.19,522792.19,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.10708333333333334,0.34838709677419355,0.9407665505226481
11729,3803.6,7925.4,17593.5,10.35,1143577.5,772723.95,3600000.0,4564351.42,1597523.0,453945.5,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.11729166666666667,0.3242924528301887,0.9581881533101045
12750,3830.5,8919.5,19125.0,11.25,1243125.0,869648.18,3600000.0,4596637.74,1608823.21,365698.21,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.1275,0.3004338394793926,0.9651567944250871
13771,3843.7,9927.3,20656.5,12.15,1342672.5,967910.5,3600000.0,4612455.42,1614359.4,271686.9,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.13770833333333332,0.2791164658634538,0.9686411149825784
14792,3857.0,10935.0,22188.0,13.05,1442220.0,1066164.5,3600000.0,4628375.33,1619931.36,177711.36,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.14791666666666667,0.2607476635514019,0.9721254355400697
15813,3884.1,11928.9,23719.5,13.95,1541767.5,1163064.12,3600000.0,4660964.69,1631337.64,89570.14,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.15812500000000002,0.24562937062937062,0.9790940766550522
16833,3883.5,12949.5,25249.5,14.85,1641217.5,1262578.65,3600000.0,4660170.44,1631059.66,-10157.84,0.2321,Illustrative scenario-based estimate—not measured real-world savings.,0.16833333333333333,0.23070607553366174,0.9790940766550522
